ano_mês,uf,produto,unid,venda,criado_em
2005-06,AL,Etanol Hidratado,m3,2.063,2022-09-10
2005-07,AL,Etanol Hidratado,m3,2.479,2022-09-10
2005-08,AL,Etanol Hidratado,m3,2.913,2022-09-10
2005-09,AL,Etanol Hidratado,m3,3.413,2022-09-10
2005-10,AL,Etanol Hidratado,m3,3.159,2022-09-10
2005-11,AL,Etanol Hidratado,m3,2.779,2022-09-10
2005-12,AL,Etanol Hidratado,m3,3.136,2022-09-10
2006-01,AL,Etanol Hidratado,m3,2.9,2022-09-10
2006-02,AL,Etanol Hidratado,m3,2.501,2022-09-10
2006-03,AL,Etanol Hidratado,m3,3.413,2022-09-10
2006-04,AL,Etanol Hidratado,m3,2.693,2022-09-10
2006-05,AL,Etanol Hidratado,m3,2.684,2022-09-10
2006-06,AL,Etanol Hidratado,m3,2.824,2022-09-10
2006-07,AL,Etanol Hidratado,m3,2.801,2022-09-10
2006-08,AL,Etanol Hidratado,m3,3.199,2022-09-10
2006-09,AL,Etanol Hidratado,m3,3.115,2022-09-10
2006-10,AL,Etanol Hidratado,m3,2.952,2022-09-10
2006-11,AL,Etanol Hidratado,m3,2.843,2022-09-10
2006-12,AL,Etanol Hidratado,m3,2.978,2022-09-10
2007-01,AL,Etanol Hidratado,m3,3.588,2022-09-10
2007-02,AL,Etanol Hidratado,m3,2.918,2022-09-10
2007-03,AL,Etanol Hidratado,m3,3.315,2022-09-10
2007-04,AL,Etanol Hidratado,m3,3.329,2022-09-10
2007-05,AL,Etanol Hidratado,m3,3.552,2022-09-10
2007-06,AL,Etanol Hidratado,m3,4.028,2022-09-10
2007-07,AL,Etanol Hidratado,m3,4.134,2022-09-10
2007-08,AL,Etanol Hidratado,m3,4.591,2022-09-10
2007-09,AL,Etanol Hidratado,m3,4.578,2022-09-10
2007-10,AL,Etanol Hidratado,m3,5.26,2022-09-10
2007-11,AL,Etanol Hidratado,m3,5.857,2022-09-10
2007-12,AL,Etanol Hidratado,m3,6.311,2022-09-10
2008-01,AL,Etanol Hidratado,m3,6.576,2022-09-10
2008-02,AL,Etanol Hidratado,m3,5.878,2022-09-10
2008-03,AL,Etanol Hidratado,m3,6.179,2022-09-10
2008-04,AL,Etanol Hidratado,m3,6.78,2022-09-10
2008-05,AL,Etanol Hidratado,m3,7.149,2022-09-10
2008-06,AL,Etanol Hidratado,m3,7.183,2022-09-10
2008-07,AL,Etanol Hidratado,m3,7.85,2022-09-10
2008-08,AL,Etanol Hidratado,m3,6.343,2022-09-10
2008-09,AL,Etanol Hidratado,m3,6.822,2022-09-10
2008-10,AL,Etanol Hidratado,m3,7.249,2022-09-10
2008-11,AL,Etanol Hidratado,m3,6.776,2022-09-10
2008-12,AL,Etanol Hidratado,m3,8.318,2022-09-10
2009-01,AL,Etanol Hidratado,m3,8.152,2022-09-10
2009-02,AL,Etanol Hidratado,m3,7.211,2022-09-10
