ano_mês,uf,produto,unid,volume,criado_em,ano
2008-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2009-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2010-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2011-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2012-09,AL,Gasolina de Aviação,m3,,2022-09-10,
